environment,factor,factor_value,id_rmse,far_nll,far_auroc,far_spearman
InvertedDoublePendulum-v5,bootstrap,0.15,0.11682106755100764,2.786947319140801,0.9963123126923078,0.9808147638022418
InvertedDoublePendulum-v5,bootstrap,0.2,0.10667617619037628,2.835205458677732,0.9963547990384616,0.9764711460155209
InvertedDoublePendulum-v5,bootstrap,0.3,0.09227351221041037,2.74319419494042,0.9967409,0.9787544034830471
InvertedDoublePendulum-v5,bootstrap,0.5,0.06759911567832415,2.5723467423365665,0.9969987111538461,0.9818789110369017
InvertedDoublePendulum-v5,bootstrap,0.99,0.049137920463600986,2.3110531797775855,0.9973652973076923,0.9832518402248952
InvertedDoublePendulum-v5,calib,1024,0.02954632366219392,1.4405628396914556,0.9962269848076922,0.923365486689563
InvertedDoublePendulum-v5,calib,2048,0.030777653750891868,1.4037407017671144,0.9962879513461538,0.9176062383645827
InvertedDoublePendulum-v5,calib,4096,0.044798044165453084,1.4768263812248523,0.9957931084615385,0.9398129951635761
InvertedDoublePendulum-v5,calib,512,0.03295088502076956,1.434658197256235,0.9959469563461537,0.9208044891997832
InvertedDoublePendulum-v5,calib,8192,0.09818025047962482,2.4267457173420834,0.995826340576923,0.9697910757316917
InvertedDoublePendulum-v5,layer,first,0.04383968902178682,1.5334784090518951,0.9955686486538462,0.9326707178282199
InvertedDoublePendulum-v5,layer,multi,0.042665558795516305,1.4183602333068848,0.9957522492307691,0.9338810579870973
InvertedDoublePendulum-v5,rank,1,0.08043922748989783,1.8033022788854747,0.9951344961538461,0.9365136260786792
InvertedDoublePendulum-v5,rank,10,0.07079526660247491,1.6561835270661573,0.9947271996153846,0.9500233383142705
InvertedDoublePendulum-v5,rank,15,0.07689807599840257,1.7717772240822132,0.9949487526923078,0.9494348262056929
InvertedDoublePendulum-v5,rank,2,0.04908296179312926,1.4061745909544139,0.995659998846154,0.9326247746139043
InvertedDoublePendulum-v5,rank,20,0.042665558795516305,1.4183602333068848,0.9957522492307691,0.9338810579870973
InvertedDoublePendulum-v5,rank,30,0.05078870838937851,1.4620182651739855,0.9953386180769231,0.946894120615127
InvertedDoublePendulum-v5,rank,40,0.045600007789639324,1.3526708162747896,0.9953204561538461,0.93502553837009
InvertedDoublePendulum-v5,rank,5,0.08514238166837738,1.6705053334052746,0.9950774984615384,0.9377885000061223
InvertedDoublePendulum-v5,ridge,0.0,0.0424798449787956,1.3055940660146566,0.9971411323076923,0.9521213943222169
InvertedDoublePendulum-v5,ridge,0.0001,0.042665558795516305,1.4183602333068848,0.9957522492307691,0.9338810579870973
InvertedDoublePendulum-v5,ridge,0.0003,0.026851502247154713,1.6502982011208167,0.9968634211538462,0.9101799155643828
InvertedDoublePendulum-v5,ridge,0.001,0.026432414180957355,1.87998955983382,0.9967903076923077,0.9126061468999935
InvertedDoublePendulum-v5,ridge,0.003,0.026201748539908573,1.9870889737055852,0.9967138607692306,0.9160821015034859
InvertedDoublePendulum-v5,ridge,0.01,0.026107103599665258,2.0423251252907972,0.9966433651923075,0.9192672378445317
InvertedDoublePendulum-v5,ridge,0.1,0.02644957286807207,2.0333566528100233,0.9966445565384615,0.922211208521869
InvertedDoublePendulum-v5,ridge,1.0,0.028114712331444025,1.940675946382376,0.9967325749999999,0.922268567386226
InvertedDoublePendulum-v5,ridge,1e-05,0.7669557023506898,4.254310286962069,0.9945715561538463,0.9738387070619279
InvertedDoublePendulum-v5,scale,0.25x,0.026415759590096198,3.2689812916975756,0.996688869423077,0.8907972827520142
InvertedDoublePendulum-v5,scale,0.5x,0.026682260267149944,1.9553809463977814,0.9969492090384614,0.9008745417994091
InvertedDoublePendulum-v5,scale,0.75x,0.057262000699455924,1.4574584319041326,0.996397900576923,0.9016741261470365
InvertedDoublePendulum-v5,scale,1.0x,0.042665558795516305,1.4183602333068848,0.9957522492307691,0.9338810579870973
InvertedDoublePendulum-v5,scale,1.5x,0.17965931717592937,2.8310889418308554,0.9940690438461538,0.9794753068881982
InvertedDoublePendulum-v5,scale,2.0x,0.344530292141896,3.552388392961942,0.9945348240384615,0.9800446370086641
InvertedDoublePendulum-v5,scale,4.0x,0.9769250716154392,4.5870861273545485,0.99497279,0.9809292623120075
InvertedPendulum-v5,bootstrap,0.0,0.015362160226616722,1.4957383991434023,0.8635715363461538,0.52609321436092
InvertedPendulum-v5,bootstrap,0.05,0.015547427169692058,-0.7121493957506922,0.9186127555769231,0.72573337910235
InvertedPendulum-v5,bootstrap,0.075,0.015443042762434253,-0.47690508228081924,0.9052370559615385,0.6828526780759362
InvertedPendulum-v5,bootstrap,0.1,0.01543700175646406,-0.3902268667633717,0.9009613078846155,0.6704698307043319
