factor,environment,metric,anchor_value,factor_value,n_paired_seeds,mean_diff,ci95_lo,ci95_hi,materially_worse
rank,Ant-v5,far_nll,20.0,2.0,27,0.006525306789963346,-0.02581665883968111,0.0388672724196078,False
rank,Ant-v5,far_nll,20.0,5.0,27,-0.0020496249198913453,-0.03303802309996396,0.028938773260181266,False
rank,Ant-v5,far_nll,20.0,10.0,27,0.012548027215180587,-0.012693518748540298,0.03778957317890147,False
rank,Ant-v5,far_nll,20.0,15.0,27,0.015824401820147452,-0.007956302780283253,0.03960510642057816,False
rank,Ant-v5,far_nll,20.0,30.0,27,0.012114641843018704,-0.010969473901487026,0.035198757587524436,False
rank,Ant-v5,far_nll,20.0,40.0,27,0.0020984234633269296,-0.025037945140138792,0.029234792066792654,False
rank,Ant-v5,far_auroc,20.0,1.0,27,-0.0003203337037036939,-0.0005757155123506089,-6.495189505677896e-05,False
rank,Ant-v5,far_auroc,20.0,2.0,27,-5.008870370369777e-05,-0.0002028496361517019,0.00010267222874430637,False
rank,Ant-v5,far_auroc,20.0,5.0,27,-4.269759259257067e-05,-0.00024525729117400513,0.00015986210598886377,False
rank,Ant-v5,far_auroc,20.0,10.0,27,2.3275000000005726e-05,-0.00017898961994788023,0.00022553961994789168,False
rank,Ant-v5,far_auroc,20.0,15.0,27,8.012111111113353e-05,-8.89054584500327e-05,0.0002491476806722998,False
rank,Ant-v5,far_auroc,20.0,30.0,27,6.86764814815049e-05,-0.00013447858952209233,0.00027183155248510215,False
rank,Ant-v5,far_auroc,20.0,40.0,27,5.6739444444451504e-05,-0.00010673365803357511,0.0002202125469224781,False
rank,Ant-v5,far_spearman,20.0,1.0,27,0.006609744328341605,-0.016141623305462684,0.029361111962145893,False
rank,Ant-v5,far_spearman,20.0,2.0,27,0.006343178523395963,-0.011714337101281624,0.02440069414807355,False
rank,Ant-v5,far_spearman,20.0,5.0,27,-0.013039696473809396,-0.030045677541281464,0.00396628459366267,False
rank,Ant-v5,far_spearman,20.0,10.0,27,-0.011921131559853982,-0.03274439229743094,0.008902129177722972,False
rank,Ant-v5,far_spearman,20.0,15.0,27,-0.0022597250750991003,-0.0220177230732612,0.017498272923062996,False
rank,Ant-v5,far_spearman,20.0,30.0,27,-0.003012148680867217,-0.021266015276090525,0.015241717914356093,False
rank,Ant-v5,far_spearman,20.0,40.0,27,-0.003564155656053552,-0.023169270391987896,0.016040959079880793,False
rank,HalfCheetah-v5,id_rmse,20.0,1.0,27,0.04033618061630818,0.028004043904455933,0.05266831732816042,False
rank,HalfCheetah-v5,id_rmse,20.0,2.0,27,0.007604916890462239,0.0005955681301259173,0.014614265650798562,False
rank,HalfCheetah-v5,id_rmse,20.0,5.0,27,-0.0009027189678615912,-0.006426728513047397,0.004621290577324214,False
rank,HalfCheetah-v5,id_rmse,20.0,10.0,27,-0.0018041133880615234,-0.0077457191691643725,0.004137492393041326,False
rank,HalfCheetah-v5,id_rmse,20.0,15.0,27,-0.002171220602812582,-0.007149443338378619,0.002807002132753454,False
rank,HalfCheetah-v5,id_rmse,20.0,30.0,27,-0.00035534523151540637,-0.0038307935596654536,0.003120103096634641,False
rank,HalfCheetah-v5,id_rmse,20.0,40.0,27,0.0009303931836729026,-0.005366036994812397,0.007226823362158201,False
rank,HalfCheetah-v5,far_nll,20.0,1.0,27,0.11505086775179264,0.04412893044242518,0.1859728050611601,True
