environment,seed,factor,factor_value,factor_value_numeric,anchor_value,relative_to_anchor,status,error_message,git_commit,ridge_center,scale,subspace_dimension_K,ensemble_size_M,bootstrap_fraction,calibration_size,calibration_pool_size,per_member_calibration_size,unique_calibration_rows,feature_dimension_p,nominal_n_over_p,unique_n_over_p,layer_scope,direction_family,id_rmse,id_nll,id_total_variance,id_residual,near_rmse,near_nll,near_auroc,mid_rmse,mid_nll,mid_auroc,far_rmse,far_nll,far_auroc,far_spearman,construction_time_sec,gram_rank,gram_min_eig,gram_condition,normalized_ridge,mean_delta_w_norm,notes
Swimmer-v5,500,ridge,0.1,0.1,0.0001,1000.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.02047489583492279,-2.238286018371582,0.0030323222745209932,0.014389497189028476,NA,NA,NA,NA,NA,NA,0.5347671508789062,1.5919417142868042,0.99967844,0.5103896423604899,0.5460965633392334,201,0.06324468994564712,2674780.1871003993,1.892139192990752e-05,7.984094142913818,
Swimmer-v5,500,ridge,1.0,1.0,0.0001,10000.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.021606866270303726,-2.1862621307373047,0.0031934482976794243,0.01677315680274911,NA,NA,NA,NA,NA,NA,0.5336571335792542,2.044029712677002,0.9997077700000001,0.4351798303956315,0.5632627010345459,201,0.06324468994564712,410671.75453120377,0.0001891817030687276,7.984094142913818,
Swimmer-v5,500,ridge,1e-05,1e-05,0.0001,0.1,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.47753822803497314,0.36281922459602356,9.161652565002441,0.014308266098679592,NA,NA,NA,NA,NA,NA,9.944417953491211,4.758209228515625,0.99886636,0.945628032905954,0.5564286708831787,201,0.06324468994564712,6902943.682138978,1.8921749919951164e-09,7.984094142913818,
Swimmer-v5,500,ridge,0.0003,0.0003,0.0001,2.9999999999999996,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.021663140505552292,-2.159498453140259,0.0043400609865784645,0.014307393442368643,NA,NA,NA,NA,NA,NA,0.5448841452598572,0.6518535614013672,0.99942031,0.7185331349677981,0.5367257595062256,201,0.06324468994564712,6871440.603289547,5.676524664496988e-08,7.984094142913818,
Swimmer-v5,500,ridge,0.003,0.003,0.0001,30.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.020827481523156166,-2.222738265991211,0.00338118732906878,0.014299966730591073,NA,NA,NA,NA,NA,NA,0.5369130969047546,0.7866088151931763,0.99956447,0.6786063708121711,0.5438644886016846,201,0.06324468994564712,6591374.579218725,5.676521764434565e-07,7.984094142913818,
Swimmer-v5,500,layer,first,1,2,0.5,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,first,random,0.026257634162902832,-1.99594247341156,0.014358503744006157,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.5639560222625732,0.8413933515548706,0.9985214299999999,0.5301771542801337,0.27358436584472656,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.967779636383057,
Swimmer-v5,500,layer,multi,2,2,1.0,ok,,70fb480,zero,8.0,20,50,0.05,204,4096,204,199,201,1.0149253731343284,0.9900497512437811,multi,random,0.03132136911153793,-1.8881579637527466,0.02636897563934326,0.014307993656251605,NA,NA,NA,NA,NA,NA,0.6829827427864075,1.2775636911392212,0.99788955,0.7507455027682118,0.6006534099578857,201,0.06324468994564712,6893135.9959394615,1.8921749597721817e-08,7.984094142913818,
Ant-v5,0,calib,512,512,4096,0.125,ok,,70fb480-calibfix,zero,8.0,20,50,0.1,51,512,51,49,201,0.2537313432835821,0.24378109452736318,multi,random,0.5643818378448486,-2.1848385334014893,0.5022386908531189,0.08399167590038999,0.7910783290863037,0.1301172375679016,0.7387273599999998,0.8767234683036804,0.5860089063644409,0.757725835,1.5615291595458984,8.827887535095215,0.8266309000000001,0.19211223382346204,1.811291217803955,171,9.495441648593979e-30,27474587.310530353,3.601091872422393e-06,8.004514694213867,
Ant-v5,0,calib,1024,1024,4096,0.25,ok,,70fb480-calibfix,zero,8.0,20,50,0.1,102,1024,102,97,201,0.5074626865671642,0.48258706467661694,multi,random,0.5827297568321228,-2.086329698562622,0.7176305651664734,0.10880942839726795,0.8437948226928711,-0.23444542288780212,0.83609148,0.9470453262329102,-0.10634495317935944,0.864071525,1.7938168048858643,2.2029173374176025,0.9916700950000001,0.5755834336931017,1.1706960201263428,191,2.5231589555251618e-29,58402866.95293909,1.7316591432052458e-06,8.004514694213867,
Ant-v5,0,calib,2048,2048,4096,0.5,ok,,70fb480-calibfix,zero,8.0,20,50,0.1,204,2048,204,194,201,1.0149253731343284,0.9651741293532339,multi,random,0.6247241497039795,-2.0313022136688232,1.1891679763793945,0.06080366005416137,0.9281222224235535,-0.0984613448381424,0.85451166,1.1584773063659668,0.11399010568857193,0.88577449,2.9092042446136475,1.0508856773376465,0.99737067,0.808334694095047,1.081737756729126,200,6.841013826148677e-29,118288583.50269176,8.482657139744947e-07,8.004514694213867,
