factor,environment,metric,anchor_value,anchor_metric,curve_min,curve_max,curve_range,n_swept_values,min_seeds_per_value,verdict
ridge,Ant-v5,far_nll,0.0001,1.1105868021647136,1.0163961317804124,8.192367332952994,7.175971201172581,9,27,sharp
ridge,Ant-v5,far_auroc,0.0001,0.9978463020370371,0.7556026057407408,0.9978795105555556,0.2422769048148148,9,27,worse
ridge,Ant-v5,far_spearman,0.0001,0.8482334680696765,0.16352478481295418,0.8936761991367014,0.7301514143237472,9,27,sharp
ridge,HalfCheetah-v5,id_rmse,0.0001,1.3398027817408245,1.3248608465547915,1.3582511566303395,0.033390310075547935,9,27,flat
ridge,HalfCheetah-v5,far_nll,0.0001,2.186953315028438,2.1221027595025523,3.0492525939588195,0.9271498344562672,9,27,sharp
ridge,HalfCheetah-v5,far_auroc,0.0001,0.9872366683333333,0.9850472788888889,0.9877279394444444,0.002680660555555492,9,27,flat
ridge,HalfCheetah-v5,far_spearman,0.0001,0.28186701249774776,0.11751574391852726,0.40012715090854484,0.2826114069900176,9,27,sharp
ridge,Hopper-v5,id_rmse,0.0001,0.18357799560935406,0.18340396881103513,0.18495554614950105,0.0015515773384659204,9,27,flat
ridge,Hopper-v5,far_nll,0.0001,0.3539498812622494,0.3017254758764196,0.4363807439804077,0.1346552681039881,9,27,flat
ridge,Hopper-v5,far_auroc,0.0001,0.9806847922222223,0.9539916794444444,0.9819772264814816,0.02798554703703715,9,27,worse
