sweep,value,is_default,env,seed,family,k,M,subset,lambda_reg,bootstrap_frac,layer_scope,perturbation_size,size_selected_by_valnll,rmse_val,nll_val,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far,train_time,eval_time
bootstrap,0.25,False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.25,multi,5.0,True,1.6134806871414185,0.1038680225610733,1.7612311840057373,0.7393524050712585,3.9950273036956787,2.398244619369507,2.888584613800049,0.6615573149999999,0.8645661349999999,0.9757846700000001,12.204716444015503,0.19790172576904297
bootstrap,0.5,False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.5,multi,5.0,True,1.6132087707519531,0.10654904693365097,1.761084794998169,0.840499758720398,4.519114017486572,2.4575183391571045,3.2984633445739746,0.65824236,0.8559298,0.975018675,13.0557861328125,0.20110464096069336
bootstrap,0.75,False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.75,multi,5.0,True,1.6132303476333618,0.10810930281877518,1.7615936994552612,0.9225512742996216,4.993143081665039,2.4848525524139404,3.546759605407715,0.6566504249999999,0.8504706499999999,0.97467874,12.640762567520142,0.21518325805664062
bootstrap,0.99,False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.99,multi,5.0,True,1.6133850812911987,0.10924835503101349,1.7609730958938599,0.9784772992134094,5.233458042144775,2.5048940181732178,3.7363927364349365,0.65596898,0.8479965899999999,0.9741043450000001,12.683391332626343,0.21664047241210938
ridge,0.0,True,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6159673929214478,0.10202678292989731,1.7610417604446411,0.4761899709701538,2.6815383434295654,2.2240827083587646,2.212005138397217,0.676958965,0.89723277,0.97742987,14.285759925842285,0.40647435188293457
ridge,0.0001,False,HalfCheetah-v5,10,random,20,50,10000,0.0001,0.1,multi,5.0,True,1.6170779466629028,0.10869801789522171,1.7655680179595947,0.29466134309768677,1.8496562242507935,2.202348470687866,2.049227476119995,0.6807495950000001,0.911493775,0.9814536099999999,14.166181802749634,0.19959211349487305
ridge,0.01,False,HalfCheetah-v5,10,random,20,50,10000,0.01,0.1,multi,5.0,True,1.616098165512085,0.10144538432359695,1.761033296585083,0.5561428070068359,3.0533530712127686,2.2507543563842773,2.3840298652648926,0.674937735,0.891968755,0.97644819,12.909046411514282,0.24982047080993652
ridge,1.0,False,HalfCheetah-v5,10,random,20,50,10000,1.0,0.1,multi,5.0,True,1.6181641817092896,0.10689252614974976,1.7623438835144043,0.9090206027030945,4.834108352661133,2.415865182876587,3.312798500061035,0.66149038,0.856580755,0.973662895,11.207414388656616,0.21132659912109375
ridge,100.0,False,HalfCheetah-v5,10,random,20,50,10000,100.0,0.1,multi,50.0,True,1.6505728960037231,0.15159645676612854,1.7879595756530762,0.982064962387085,4.759914398193359,2.3525545597076416,3.2070839405059814,0.69414533,0.8631669599999999,0.9668067650000001,10.178261756896973,0.19328856468200684
layer,single-block-L0,False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,10.0,True,1.6197679042816162,0.10661019384860992,1.7623766660690308,0.7075541615486145,3.8343067169189453,2.274235963821411,3.0238308906555176,0.6690217,0.888195425,0.973223025,12.423776149749756,0.1465320587158203
layer,"multi-block-L0,2*",True,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6159673929214478,0.10202678292989731,1.7610417604446411,0.4761899709701538,2.6815383434295654,2.2240827083587646,2.212005138397217,0.676958965,0.89723277,0.97742987,13.720972537994385,0.24277520179748535
scale,0.25x(=1.25),False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,1.25,False,1.6330257654190063,0.05074938386678696,1.615400791168213,0.04821889474987984,4.5167670249938965,2.9871718883514404,2.070728063583374,0.61796999,0.7443592800000001,0.9482883849999999,9.951215744018555,0.2262251377105713
scale,0.5x(=2.5),False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,2.5,False,1.6326825618743896,0.047273918986320496,1.615169882774353,0.04274026304483414,3.245227336883545,2.7781646251678467,1.8858860731124878,0.6395594,0.7908106850000001,0.9617031699999999,9.951215744018555,0.1971721649169922
scale,1.0x(=5.0),True,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6341995000839233,0.052203428000211716,1.6163321733474731,0.04727266728878021,2.2922918796539307,2.5160930156707764,1.7762129306793213,0.665574565,0.8554177949999999,0.97738074,9.951215744018555,0.19336485862731934
scale,2.0x(=10.0),False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,10.0,False,1.6393872499465942,0.06599361449480057,1.6205635070800781,0.06069198623299599,2.095111846923828,2.26676082611084,1.7495235204696655,0.69737366,0.9207414500000001,0.98685217,9.951215744018555,0.20113849639892578
scale,4.0x(=20.0),False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,20.0,False,1.6432429552078247,0.08253160864114761,1.6278302669525146,0.0753212422132492,1.7626121044158936,2.07576584815979,1.724151849746704,0.7315712900000001,0.9557966999999999,0.9892074900000001,9.951215744018555,0.19934868812561035
rank,1,False,HalfCheetah-v5,42,random,1,50,10000,0.0,0.1,multi,5.0,True,1.6358438730239868,0.06258150935173035,1.6200284957885742,0.05622366815805435,2.3715059757232666,2.5848662853240967,1.806443452835083,0.66140545,0.8385272549999998,0.976296195,10.372402667999268,0.19860243797302246
rank,2,False,HalfCheetah-v5,42,random,2,50,10000,0.0,0.1,multi,5.0,True,1.6365504264831543,0.05762162059545517,1.6190956830978394,0.050721943378448486,2.2802963256835938,2.5342636108398438,1.781394124031067,0.664094085,0.843753075,0.9765740599999999,10.5338716506958,0.21762943267822266
rank,5,False,HalfCheetah-v5,42,random,5,50,10000,0.0,0.1,multi,5.0,True,1.632515549659729,0.05254480242729187,1.6161173582077026,0.04744115471839905,2.3529279232025146,2.4971253871917725,1.7792136669158936,0.665161525,0.85999303,0.97700174,9.709779977798462,0.20563983917236328
rank,20,True,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6341995000839233,0.052203428000211716,1.6163321733474731,0.04727266728878021,2.2922918796539307,2.5160930156707764,1.7762129306793213,0.665574565,0.8554177949999999,0.97738074,11.163654565811157,0.2143723964691162
rank,40,False,HalfCheetah-v5,42,random,40,50,10000,0.0,0.1,multi,5.0,True,1.6349091529846191,0.0523662269115448,1.6169641017913818,0.047534335404634476,2.610584259033203,2.50947642326355,1.7771276235580444,0.6667166099999999,0.8576537500000001,0.97639458,13.701179265975952,0.2112281322479248
bootstrap,0.0,False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.0,multi,5.0,True,1.6321933269500732,0.051035456359386444,1.6157770156860352,0.04883754625916481,4.200509071350098,2.820946216583252,2.0386528968811035,0.640602805,0.791773635,0.95555833,10.039990425109863,0.2009739875793457
