role,tier,sample_index,distance_mahal,distance_mahal_recovered,disagreement,sem_lo,sem_hi
scatter,id,8825,10.845871925354004,10.845853714881748,0.17591994576346198,,
scatter,id,7604,6.943352699279785,6.9433370264492105,0.08195605776608299,,
scatter,id,9507,16.18999481201172,16.1899731563508,0.26665802532687666,,
scatter,id,1888,19.462249755859375,19.462228725098424,0.3004207345522805,,
scatter,id,2098,7.755129814147949,7.755114002905046,0.1411338531243917,,
scatter,id,1445,11.278600692749023,11.278581442208283,0.16274968689220368,,
scatter,id,7557,7.448143482208252,7.44812963678785,0.10520087262306436,,
scatter,id,5484,13.442936897277832,13.442918067018715,0.18715118479184753,,
scatter,id,7907,17.288291931152344,17.288274245600167,0.2850795655889854,,
scatter,id,2241,12.223857879638672,12.223844699806891,0.1955071124938208,,
scatter,id,7288,18.106794357299805,18.106783645110294,0.2364918508199134,,
scatter,id,1215,16.778141021728516,16.778128353305547,0.37303751742688435,,
scatter,id,251,9.366045951843262,9.366032526157692,0.14482365499538866,,
scatter,id,6310,13.880332946777344,13.880319991386543,0.24104682264715813,,
scatter,id,7297,8.268033027648926,8.268020145381309,0.10821565880090228,,
scatter,id,7053,11.082358360290527,11.082344288730685,0.1749644897965204,,
scatter,id,3375,10.788275718688965,10.788259220121347,0.2177474954818333,,
scatter,id,63,7.437354564666748,7.437341603278062,0.09269796365160435,,
scatter,id,2925,8.394889831542969,8.394877200172466,0.09392470352803635,,
scatter,id,561,10.949634552001953,10.949617658891878,0.11652324941696163,,
scatter,id,8901,16.38035011291504,16.380333446777193,0.3200700793843436,,
scatter,id,6582,11.575592041015625,11.575575140288725,0.2298681794787758,,
scatter,id,9828,9.911147117614746,9.911129758172954,0.1651729293490334,,
scatter,id,5480,10.608211517333984,10.608193232925492,0.12409833088965594,,
scatter,id,6472,8.09256649017334,8.092550300564293,0.11869373363158954,,
scatter,id,2204,7.5814208984375,7.5814074904762725,0.11459977409951497,,
