env,seed,direction,regime,alpha,rel_lin_err_median,rel_by_actual_median,cosine_median,spearman_normlin_normact,remainder_median,norm_actual_median,norm_linear_median,cd_reldiff_eps1e-3,cd_reldiff_eps1e-2
Ant-v5,0,2,near,1.0,0.6885679960250854,0.7348892688751221,0.7555887699127197,0.9283897097427436,0.2305818647146225,0.313453733921051,0.3429010808467865,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,2.0,0.9779283404350281,1.1271860599517822,0.46430495381355286,0.8860436510912774,0.6293504238128662,0.5601547956466675,0.685802161693573,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,5.0,1.0850872993469238,1.8122743368148804,0.14365094900131226,0.8330053251331284,1.8149325847625732,1.0036163330078125,1.7145054340362549,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,10.0,1.0543427467346191,2.7661919593811035,0.03404315561056137,0.7907852696317409,3.60274338722229,1.268722414970398,3.4290108680725098,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,20.0,1.0239958763122559,4.949596405029297,-0.02016095444560051,0.6768139203480088,7.057519912719727,1.4316051006317139,6.8580217361450195,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,near,50.0,1.0038039684295654,11.748382568359375,0.00130949926096946,0.7368469211730295,17.35125732421875,1.4266247749328613,17.14505386352539,0.0310884527862072,0.0310884527862072
Ant-v5,0,2,mid,0.05,0.612993597984314,0.5261319875717163,0.8505250215530396,0.933354833870847,0.013539543375372887,0.02932640165090561,0.021237265318632126,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,0.1,0.3635372221469879,0.3493216633796692,0.9385573267936707,0.9521068026700669,0.01696842908859253,0.05269322544336319,0.04247453063726425,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,0.25,0.36184096336364746,0.3518447279930115,0.9387001991271973,0.9736203405085129,0.03935199975967407,0.1220187172293663,0.10618633031845093,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,0.5,0.47792574763298035,0.49731454253196716,0.8885295391082764,0.9806330158253959,0.10604958236217499,0.22296097874641418,0.21237266063690186,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,1.0,0.695515513420105,0.729131817817688,0.7492685914039612,0.9712262806570165,0.2913089990615845,0.4038996994495392,0.4247453212738037,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,2.0,0.9390822649002075,1.1212279796600342,0.4908958077430725,0.9580694517362934,0.8147798180580139,0.7426459789276123,0.8494906425476074,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,5.0,1.0538572072982788,1.9569642543792725,0.18140456080436707,0.9310792769819246,2.3359835147857666,1.2068169116973877,2.1237263679504395,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,10.0,1.0254284143447876,3.1049644947052,0.07619743794202805,0.8870291757293933,4.376340389251709,1.420567274093628,4.247452735900879,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,20.0,1.0127158164978027,5.5692644119262695,0.011591964401304722,0.7889867246681167,8.693389892578125,1.6098005771636963,8.494905471801758,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,mid,50.0,0.9998095035552979,13.308930397033691,0.044928669929504395,0.7913687842196057,21.265174865722656,1.7082428932189941,21.23726463317871,0.029154501855373383,0.029154501855373383
Ant-v5,0,2,far,0.05,5.5058512687683105,0.9878761172294617,0.1640176624059677,0.714433360834021,0.6357359886169434,0.6667180061340332,0.11539237946271896,0.032088011503219604,0.032088011503219604
